,State,Date,Count
504,LA,2015-12-24,3
505,LA,2015-12-27,2
506,MA,2015-01-19,1
507,MA,2015-02-17,2
508,MA,2015-03-27,3
509,MA,2015-06-02,2
510,MA,2015-06-19,1
511,MA,2015-07-02,1
512,MA,2015-07-13,2
513,MA,2015-07-29,1
514,MA,2015-10-10,1
515,MD,2015-01-24,1
516,MD,2015-01-31,2
517,MD,2015-02-14,1
518,MD,2015-03-01,1
519,MD,2015-03-03,1
520,MD,2015-03-11,1
521,MD,2015-03-30,1
522,MD,2015-03-31,1
523,MD,2015-04-16,1
524,MD,2015-05-10,1
525,MD,2015-05-12,1
526,MD,2015-06-25,1
527,MD,2015-08-14,1
528,MD,2015-08-21,2
529,MD,2015-09-23,2
530,MD,2015-10-09,2
531,MD,2015-10-26,1
532,MD,2015-11-11,1
533,MD,2015-12-14,1
534,MD,2015-12-19,1
535,ME,2015-02-09,1
536,ME,2015-02-10,1
537,ME,2015-12-01,2
538,MI,2015-01-29,1
539,MI,2015-02-02,2
540,MI,2015-02-17,1
541,MI,2015-02-28,1
542,MI,2015-04-16,1
543,MI,2015-04-27,2
544,MI,2015-05-14,1
545,MI,2015-05-23,1
546,MI,2015-05-28,1
547,MI,2015-07-15,1
548,MI,2015-08-19,1
549,MI,2015-09-17,1
550,MI,2015-10-09,1
551,MI,2015-10-10,1
552,MI,2015-10-21,1
553,MI,2015-11-18,2
554,MI,2015-12-23,1
555,MI,2015-12-24,1
556,MN,2015-01-14,2
557,MN,2015-01-15,1
558,MN,2015-01-16,1
559,MN,2015-01-26,2
560,MN,2015-03-16,2
561,MN,2015-05-08,2
562,MN,2015-07-23,2
563,MN,2015-08-22,2
564,MN,2015-09-24,2
565,MN,2015-09-29,1
566,MN,2015-09-30,1
567,MN,2015-10-18,1
568,MN,2015-11-01,1
569,MN,2015-11-15,1
570,MN,2015-11-24,2
571,MO,2015-01-14,2
572,MO,2015-01-21,1
573,MO,2015-02-03,1
574,MO,2015-02-17,2
575,MO,2015-02-28,3
576,MO,2015-03-13,2
577,MO,2015-04-15,1
578,MO,2015-04-17,1
579,MO,2015-05-23,2
580,MO,2015-07-07,1
581,MO,2015-07-09,1
582,MO,2015-08-19,1
583,MO,2015-09-09,2
584,MO,2015-11-04,1
585,MO,2015-11-05,1
586,MO,2015-11-25,3
587,MO,2015-11-27,1
588,MO,2015-11-29,2
589,MO,2015-12-05,1
590,MS,2015-01-21,1
591,MS,2015-02-15,1
592,MS,2015-02-26,2
593,MS,2015-03-01,1
594,MS,2015-03-15,1
595,MS,2015-03-31,1
596,MS,2015-04-21,1
597,MS,2015-05-03,1
598,MS,2015-08-19,1
599,MS,2015-09-14,1
600,MS,2015-10-12,2
601,MS,2015-10-16,2
602,MS,2015-10-28,2
603,MS,2015-12-27,2
604,MT,2015-01-08,2
605,MT,2015-01-30,1
606,MT,2015-08-07,2
607,MT,2015-11-10,1
608,NC,2015-02-07,2
609,NC,2015-02-17,2
610,NC,2015-02-18,1
611,NC,2015-02-28,1
612,NC,2015-03-09,2
613,NC,2015-03-16,1
614,NC,2015-03-17,1
615,NC,2015-04-12,1
616,NC,2015-05-06,1
617,NC,2015-05-09,1
618,NC,2015-06-22,1
619,NC,2015-06-30,2
620,NC,2015-07-08,1
621,NC,2015-07-24,1
622,NC,2015-08-07,2
623,NC,2015-08-08,1
624,NC,2015-08-19,1
625,NC,2015-08-21,1
626,NC,2015-08-23,2
627,NC,2015-09-05,2
628,NC,2015-11-06,1
629,NC,2015-11-15,1
630,NC,2015-12-15,2
631,NC,2015-12-24,1
632,ND,2015-06-16,1
633,NE,2015-01-07,1
634,NE,2015-01-27,2
635,NE,2015-02-23,2
636,NE,2015-03-05,2
637,NE,2015-04-19,2
638,NE,2015-05-20,2
639,NE,2015-06-23,1
640,NE,2015-11-29,1
641,NE,2015-12-03,1
642,NH,2015-01-21,2
643,NH,2015-07-06,1
644,NH,2015-09-03,1
645,NH,2015-09-04,1
646,NJ,2015-01-14,1
647,NJ,2015-01-15,2
648,NJ,2015-01-25,1
649,NJ,2015-04-01,2
650,NJ,2015-04-21,1
651,NJ,2015-05-21,1
652,NJ,2015-05-27,1
653,NJ,2015-05-29,1
654,NJ,2015-06-03,1
655,NJ,2015-06-11,2
656,NJ,2015-06-16,1
657,NJ,2015-07-03,1
658,NJ,2015-07-07,1
659,NJ,2015-08-23,1
660,NJ,2015-10-05,1
661,NJ,2015-11-17,2
662,NJ,2015-11-24,1
663,NM,2015-01-13,2
664,NM,2015-02-21,1
665,NM,2015-04-04,1
666,NM,2015-05-03,1
667,NM,2015-05-17,1
668,NM,2015-06-03,1
669,NM,2015-06-17,1
670,NM,2015-07-29,1
671,NM,2015-07-31,4
672,NM,2015-08-12,1
673,NM,2015-08-25,1
674,NM,2015-09-01,2
675,NM,2015-09-06,1
676,NM,2015-09-07,1
677,NM,2015-09-26,1
678,NM,2015-10-20,1
679,NM,2015-11-11,2
680,NM,2015-12-02,1
681,NM,2015-12-18,1
682,NM,2015-12-22,2
683,NV,2015-01-11,1
684,NV,2015-02-25,1
685,NV,2015-03-29,1
686,NV,2015-03-30,1
687,NV,2015-07-04,1
688,NV,2015-07-10,2
689,NV,2015-07-25,2
690,NV,2015-07-30,1
691,NV,2015-08-07,1
692,NV,2015-08-15,2
693,NV,2015-08-23,2
694,NV,2015-08-29,2
695,NV,2015-09-22,2
696,NV,2015-10-13,1
697,NV,2015-10-15,2
698,NV,2015-11-06,2
699,NV,2015-11-22,2
700,NV,2015-11-24,2
701,NV,2015-12-14,3
702,NV,2015-12-31,1
703,NY,2015-02-08,1
704,NY,2015-03-21,2
705,NY,2015-03-22,1
706,NY,2015-04-02,1
707,NY,2015-04-22,1
708,NY,2015-04-25,1
709,NY,2015-05-07,2
710,NY,2015-05-08,2
711,NY,2015-05-26,1
712,NY,2015-05-31,1
713,NY,2015-06-01,1
714,NY,2015-06-08,1
715,NY,2015-06-10,1
716,NY,2015-06-18,1
717,NY,2015-06-26,1
718,NY,2015-06-29,1
719,NY,2015-08-14,1
720,NY,2015-08-22,1
721,NY,2015-08-28,1
722,NY,2015-09-10,1
723,NY,2015-10-24,1
724,NY,2015-12-07,1
725,NY,2015-12-08,1
726,OH,2015-01-07,1
727,OH,2015-01-27,1
728,OH,2015-03-10,3
729,OH,2015-03-19,2
730,OH,2015-03-21,2
731,OH,2015-03-28,1
732,OH,2015-03-29,1
733,OH,2015-04-28,1
734,OH,2015-05-20,2
735,OH,2015-06-09,3
736,OH,2015-06-19,1
737,OH,2015-07-14,2
738,OH,2015-07-19,1
739,OH,2015-07-23,1
740,OH,2015-08-12,1
741,OH,2015-08-20,1
742,OH,2015-08-31,1
743,OH,2015-09-01,1
744,OH,2015-09-08,1
745,OH,2015-09-21,1
746,OH,2015-09-25,1
747,OH,2015-10-05,1
748,OH,2015-10-15,4
749,OH,2015-10-24,2
750,OH,2015-10-29,1
751,OH,2015-11-23,1
752,OH,2015-11-29,1
753,OH,2015-12-02,1
754,OH,2015-12-03,1
755,OH,2015-12-06,1
756,OH,2015-12-08,1
757,OH,2015-12-17,1
758,OH,2015-12-18,2
759,OK,2015-01-04,2
